x,y
39.03927301,69.91847207
69.34358185,78.08853618
30.16891185,82.83114169
66.92094352,74.60625085
25.57554027,81.84553297
41.43153659,49.75228488
38.84946556,45.228056
46.75808011,40.16522037
59.75776695,80.0678186
36.72550277,86.39861164
48.52972121,34.12229447
34.72918279,31.60704714
45.46185264,74.95138899
44.15589908,23.96553652
55.08292653,72.69465973
42.64535145,75.89569061
50.19437166,18.65288516
50.76964643,79.37241064
68.29446186,24.45777023
43.5858743,81.34874857
74.87122249,67.67991413
27.08626705,62.44819973
31.32205323,68.68171067
66.23566919,18.24412761
29.30702497,53.90749252
34.14953023,72.75503611
38.00045991,77.84820471
78.38331737,74.66509103
73.09172564,77.05853304
75.94059537,28.50891571
53.2477089,10.51578111
60.12690845,10.54223796
31.5941496,66.12266295
66.43763291,73.57980609
74.90118908,30.43064657
29.72172068,54.93537865
68.65534652,58.44010858
49.11115065,8.94624004
69.18278253,51.51556504
61.8019351,68.53868078
62.65019181,20.89352362
53.97066236,17.98767562
48.26860935,77.65043768
62.86032166,64.05490921
45.05667624,12.22106331
62.47840886,18.42276275
29.21916258,10.67126158
42.53155463,61.09909397
64.16683042,9.227840639
73.29366367,35.86576212
36.16362451,62.23795191
50.93666833,74.55624699
34.18362948,21.40221428
36.84303978,19.51525614
28.46838732,40.63228922
70.46705312,68.23934552
28.58837646,53.92330292
44.59371083,17.3863916
40.63632374,22.02540949
42.03000957,73.80159094
65.8396002,78.76685474
36.59558501,59.65827397
43.99225035,25.96872823
58.24448486,26.47053351
28.85353627,82.66445725
70.5614022,57.89940511
72.65780902,80.58861429
35.06214668,58.88477051
38.15936259,58.58616554
74.77105239,74.4660753
73.05104833,62.31825437
34.64804614,90.66711349
73.19759063,63.24747736
31.49379979,86.59800144
43.36020941,35.41816541
60.40163933,26.7301074
34.9963809,82.23962199
58.35890191,79.58813855
73.99142245,94.71639961
37.69551159,92.78755459
76.19678123,86.8681872
77.08738619,76.19997318
40.34215866,78.26905248
40.66522263,76.19383539
68.01935919,47.46771232
51.10506926,36.10215247
68.67348978,89.65187185
66.29864891,35.06234999
61.89397254,30.35074641
65.59370134,27.89101554
60.95909773,77.72382469
50.83211863,72.06018637
39.9714423,42.70357127
65.91961245,68.08933667
69.23552244,66.97623295
75.50161893,19.07327125
85.1835644,18.12137888
88.40521369,60.68239365
35.30933467,21.2344532
34.8526617,57.12550964
66.52947609,70.26526364
47.44445127,69.57260337
35.05699783,30.16614272
65.50996268,61.54252239
40.12553129,47.23829507
44.99375192,11.07148246
81.06091703,34.43594724
80.01119052,10.785959
80.54928582,13.0517367
74.09536989,44.89399394
34.73475565,36.26595113
35.17706993,33.12101755
76.14083365,24.67694791
66.17359481,1.058123811
43.20250635,0.010932666
73.64442551,22.37351935
73.98715858,13.71451605
72.37961759,36.8457425
70.60084098,43.29311118
74.79484888,30.42839698
74.7805584,12.29423363
32.76084797,9.927280887
52.75033003,56.08546786
45.97195121,40.07064554
32.63449607,19.93553596
34.30216426,7.904563948
75.8787504,8.112343474
37.85132459,4.543994188
75.31302319,30.13521852
39.21498435,9.115658024
43.08088027,32.19682954
68.23879602,39.73052971
55.11566397,3.728538046
77.57580914,0.127877918
44.13975978,35.52251261
41.30754436,14.87742802
62.12021815,64.21417225
68.25161065,15.44274145
77.13330362,65.92674386
70.38179601,93.68495502
36.26171709,75.00387905
67.44378724,89.62114194
